ID da composição;Descrição da composição SKU FILHO;Código da composição SKU FILHO;ID do componente;Descrição do componente SKU PAI;Código do componente SKU PAI;Quantidade Unidades Kit
15813947015;Presente de Natal 4 Capa Almofada Jacquard Jardim e Amarelo;RB0009CH3;15812373319;Capa De Almofada Jacquard Premium - Jardim Colorido 50 x 50cm;RB0013;2
15813947015;Presente de Natal 4 Capa Almofada Jacquard Jardim e Amarelo;RB0009CH3;15842754551;Capa De Almofada Jacquard Premium - Amarelo 50 x 50cm;CD1028;2
15813947018;Presente de Natal 4 Capa Almofada Jacquard Jasmim e Amarelo;RB0010CH3;15815819733;Capa De Almofada Jacquard Premium - Jasmim 50x50;RB0051;2
15813947018;Presente de Natal 4 Capa Almofada Jacquard Jasmim e Amarelo;RB0010CH3;15842754551;Capa De Almofada Jacquard Premium - Amarelo 50 x 50cm;CD1028;2
15813947044;Presente de Natal 4 Capa Almofada Jacquard Preto e Branco;RB0038CH3;15842754561;Capa De Almofada Jacquard Premium - Preto 45 x 45cm;CD1033;2
15813947044;Presente de Natal 4 Capa Almofada Jacquard Preto e Branco;RB0038CH3;15842754553;Capa De Almofada Jacquard Premium - Branco 45 x 45cm;CD1029;2
15840655553;Presente de Natal 4 Capa Cadeira Charles Eames Mármore Cinza;CD1003-4CH3;15827697494;Capa para Cadeira Eiffel Spandex - Mármore Cinza 1 Unidade;CD1003;4
15849366717;Presente de Natal 4 Capas Almofada 45X45cm Jacquard Amarelo;CD1027-4CH3;15842754551;Capa De Almofada Jacquard Premium - Amarelo 50 x 50cm;CD1028;4
15849366700;Presente de Natal 4 Capas Almofada 45X45cm Jacquard Branco;CD1029-4CH3;15842754553;Capa De Almofada Jacquard Premium - Branco 45 x 45cm;CD1029;1
15849366683;Presente de Natal 4 Capas Almofada 45X45cm Jacquard Palha;CD1031-4CH3;15842754557;Capa De Almofada Jacquard Premium - Palha 45 x 45cm;CD1031;4
15849366667;Presente de Natal 4 Capas Almofada 45X45cm Jacquard Preto;CD1033-4CH3;15842754561;Capa De Almofada Jacquard Premium - Preto 45 x 45cm;CD1033;4
15849366648;Presente de Natal 4 Capas Almofada 45X45cm Jacquard Vermelho;CD1025-4CH3;15842754546;Capa De Almofada Jacquard Premium - Vermelho 45 x 45cm;CD1025;4
15849366727;Presente de Natal 4 Capas Almofada 50X50cm Jacquard Amarelo;CD1028-4CH3;15842754551;Capa De Almofada Jacquard Premium - Amarelo 50 x 50cm;CD1028;4
15849366709;Presente de Natal 4 Capas Almofada 50X50cm Jacquard Branco;CD1030-4CH3;15842754555;Capa De Almofada Jacquard Premium - Branco 50 x 50cm;CD1030;4
15849366691;Presente de Natal 4 Capas Almofada 50X50cm Jacquard Palha;CD1032-4CH3;15842754560;Capa De Almofada Jacquard Premium - Palha 50 x 50cm;CD1032;4
15849366675;Presente de Natal 4 Capas Almofada 50X50cm Jacquard Preto;CD1034-4CH3;15842754563;Capa De Almofada Jacquard Premium - Preto 50 x 50cm;CD1034;4
15849366656;Presente de Natal 4 Capas Almofada 50X50cm Jacquard Vermelho;CD1026-4CH3;15842754548;Capa De Almofada Jacquard Premium - Vermelho 50 x 50cm;CD1026;4
